Date, Close/Last, Volume, Open, High, Low,Symbol
10/12/2020,$442.30 ,38791130,$442 ,$448.74 ,$438.58 ,TSLA
10/9/2020,$434 ,28925660,$430.13 ,$434.59 ,$426.46 ,TSLA
10/8/2020,$425.92 ,40421120,$438.44 ,$439 ,$425.30 ,TSLA
10/7/2020,$425.30 ,43127710,$419.87 ,$429.90 ,$413.85 ,TSLA
10/6/2020,$413.98 ,49146260,$423.79 ,$428.78 ,$406.05 ,TSLA
10/5/2020,$425.68 ,44722790,$423.35 ,$433.64 ,$419.33 ,TSLA
10/2/2020,$415.09 ,71430030,$421.39 ,$439.13 ,$415 ,TSLA
10/1/2020,$448.16 ,50741450,$440.76 ,$448.88 ,$434.42 ,TSLA
9/30/2020,$429.01 ,48145570,$421.32 ,$433.93 ,$420.47 ,TSLA
9/29/2020,$419.07 ,50341400,$416 ,$428.50 ,$411.60 ,TSLA
9/28/2020,$421.20 ,49719560,$424.62 ,$428.08 ,$415.55 ,TSLA
9/25/2020,$407.34 ,67208460,$393.47 ,$408.73 ,$391.30 ,TSLA
9/24/2020,$387.79 ,96561060,$363.80 ,$399.50 ,$351.30 ,TSLA
9/23/2020,$380.36 ,95074180,$405.16 ,$412.15 ,$375.88 ,TSLA
9/22/2020,$424.23 ,79580800,$429.60 ,$437.76 ,$417.60 ,TSLA
9/21/2020,$449.39 ,109476800,$453.13 ,$455.68 ,$407.07 ,TSLA
9/18/2020,$442.15 ,86406820,$447.94 ,$451 ,$428.80 ,TSLA
9/17/2020,$423.43 ,76779160,$415.60 ,$437.79 ,$408.00 ,TSLA
9/16/2020,$441.76 ,72546760,$439.87 ,$457.79 ,$435.31 ,TSLA
9/15/2020,$449.76 ,97298230,$436.56 ,$461.94 ,$430.70 ,TSLA
9/14/2020,$419.62 ,83020610,$380.95 ,$420 ,$373.30 ,TSLA
9/11/2020,$372.72 ,60717460,$381.94 ,$382.50 ,$360.50 ,TSLA
9/10/2020,$371.34 ,84930610,$386.21 ,$398.99 ,$360.56 ,TSLA
9/9/2020,$366.28 ,79465770,$356.60 ,$369 ,$341.51 ,TSLA
9/8/2020,$330.21 ,115465700,$356 ,$368.74 ,$329.88 ,TSLA
9/4/2020,$418.32 ,110321900,$402.81 ,$428 ,$372.02 ,TSLA
9/3/2020,$407 ,87596090,$407.23 ,$431.80 ,$402 ,TSLA
9/2/2020,$447.37 ,96176130,$478.99 ,$479.04 ,$405.12 ,TSLA
9/1/2020,$475.05 ,90119420,$502.14 ,$502.49 ,$470.51 ,TSLA
8/31/2020,$498.32 ,118374400,$444.61 ,$500.14 ,$440.11 ,TSLA
